T179_PRODH_BRAND,T179T_VTEXT_BRAND_DESC,COUNTRY,CLASS_TYPE,CHAR_NAME_ALT_MKT_SEG,CHAR_VALUE_ALT_MKT_SEG,CHAR_NAME_ALT_CATEGORY,CHAR_VALUE_ALT_CATEGORY,CHAR_NAME_ALT_SUBCAT,CHAR_VALUE_ALT_SUBCAT
1010100320,RX GRANOLA,CA,ALT_PROD_HIERARCHY,ALT_MARKET_SEG,PWS,ALT_CATEGORY,COLD CEREAL,ALT_SUB_CATEGORY,NAT ORG COLD CEREAL
1010100322,MOUTH OFF,CA,ALT_PROD_HIERARCHY,ALT_MARKET_SEG,CEREAL,ALT_CATEGORY,COLD CEREAL,ALT_SUB_CATEGORY,COLD CEREAL
2010100052,POP-TARTS,CA,ALT_PROD_HIERARCHY,ALT_MARKET_SEG,CONVENIENCE,ALT_CATEGORY,TOASTER PASTRIES,ALT_SUB_CATEGORY,TOASTER PASTRIES
2010100053,POP-TARTS MINI CRISPS,CA,ALT_PROD_HIERARCHY,ALT_MARKET_SEG,CONVENIENCE,ALT_CATEGORY,TOASTER PASTRIES,ALT_SUB_CATEGORY,TOASTER PASTRIES
2010100054,POP-TARTS RAINBOW PALLETS,CA,ALT_PROD_HIERARCHY,ALT_MARKET_SEG,CONVENIENCE,ALT_CATEGORY,TOASTER PASTRIES,ALT_SUB_CATEGORY,TOASTER PASTRIES
2010999999,TOASTER PASTRIES PRODUCT RESERVE,CA,ALT_PROD_HIERARCHY,ALT_MARKET_SEG,CONVENIENCE,ALT_CATEGORY,TOASTER PASTRIES,ALT_SUB_CATEGORY,TOASTER PASTRIES PRODUCT RES
2020100055,ANIMAL CRACKERS COOKIES,CA,ALT_PROD_HIERARCHY,ALT_MARKET_SEG,CONVENIENCE,ALT_CATEGORY,COOKIES,ALT_SUB_CATEGORY,ALL OTHER COOKIES
2020100253,RKT CRACKLE SNAP OTG,CA,ALT_PROD_HIERARCHY,ALT_MARKET_SEG,CONVENIENCE,ALT_CATEGORY,COOKIES,ALT_SUB_CATEGORY,OTG COOKIES
2020200087,CONES,CA,ALT_PROD_HIERARCHY,ALT_MARKET_SEG,CONVENIENCE,ALT_CATEGORY,COOKIES,ALT_SUB_CATEGORY,ALL OTHER COOKIES
2020999999,COOKIES PRODUCT RESERVE,CA,ALT_PROD_HIERARCHY,ALT_MARKET_SEG,CONVENIENCE,ALT_CATEGORY,COOKIES,ALT_SUB_CATEGORY,COOKIES PRODUCT RESERVE
2030100088,ALL BRAN CRACKERS,CA,ALT_PROD_HIERARCHY,ALT_MARKET_SEG,CRACKERS,ALT_CATEGORY,CRACKERS,ALT_SUB_CATEGORY,ALL OTHER CRACKERS
2030100089,AUSTIN CRACKERS OTG,CA,ALT_PROD_HIERARCHY,ALT_MARKET_SEG,CRACKERS,ALT_CATEGORY,CRACKERS,ALT_SUB_CATEGORY,OTG CRACKERS
2030100090,BLUE GINGER,CA,ALT_PROD_HIERARCHY,ALT_MARKET_SEG,CRACKERS,ALT_CATEGORY,CRACKERS,ALT_SUB_CATEGORY,ALL OTHER CRACKERS
2030100091,CADDIES CHEEZ-IT OTG,CA,ALT_PROD_HIERARCHY,ALT_MARKET_SEG,CRACKERS,ALT_CATEGORY,CRACKERS,ALT_SUB_CATEGORY,OTG CRACKERS
2030100092,CARR'S CRACKERS,CA,ALT_PROD_HIERARCHY,ALT_MARKET_SEG,CRACKERS,ALT_CATEGORY,CRACKERS,ALT_SUB_CATEGORY,ALL OTHER CRACKERS
2030100093,CHEEZ-IT,CA,ALT_PROD_HIERARCHY,ALT_MARKET_SEG,CRACKERS,ALT_CATEGORY,CRACKERS,ALT_SUB_CATEGORY,CHEEZ-IT
2030100094,CLUB CRACKERS,CA,ALT_PROD_HIERARCHY,ALT_MARKET_SEG,CRACKERS,ALT_CATEGORY,CRACKERS,ALT_SUB_CATEGORY,CLUB CRACKERS
2030100095,GRAHAMS,CA,ALT_PROD_HIERARCHY,ALT_MARKET_SEG,CONVENIENCE,ALT_CATEGORY,CRACKERS,ALT_SUB_CATEGORY,ALL OTHER CRACKERS
2030100096,GRIPZ CRACKERS OTG,CA,ALT_PROD_HIERARCHY,ALT_MARKET_SEG,CRACKERS,ALT_CATEGORY,CRACKERS,ALT_SUB_CATEGORY,OTG CRACKERS
2030100097,KASHI HEART TO HEART CRACKERS,CA,ALT_PROD_HIERARCHY,ALT_MARKET_SEG,CRACKERS,ALT_CATEGORY,CRACKERS,ALT_SUB_CATEGORY,ALL OTHER CRACKERS
2030100098,KELLOGG CRACKER BRAND,CA,ALT_PROD_HIERARCHY,ALT_MARKET_SEG,CRACKERS,ALT_CATEGORY,CRACKERS,ALT_SUB_CATEGORY,ALL OTHER CRACKERS
2030100099,KLG CRACKER PACKS OTG,CA,ALT_PROD_HIERARCHY,ALT_MARKET_SEG,CRACKERS,ALT_CATEGORY,CRACKERS,ALT_SUB_CATEGORY,OTG CRACKERS
2030100100,KLG LICENSED CRACKERS,CA,ALT_PROD_HIERARCHY,ALT_MARKET_SEG,CRACKERS,ALT_CATEGORY,CRACKERS,ALT_SUB_CATEGORY,ALL OTHER CRACKERS
2030100101,KLG LICENSED CRACKERS OTG,CA,ALT_PROD_HIERARCHY,ALT_MARKET_SEG,CRACKERS,ALT_CATEGORY,CRACKERS,ALT_SUB_CATEGORY,OTG CRACKERS
2030100102,KRISPY,CA,ALT_PROD_HIERARCHY,ALT_MARKET_SEG,CRACKERS,ALT_CATEGORY,CRACKERS,ALT_SUB_CATEGORY,ALL OTHER CRACKERS
2030100103,PRIVATE LABEL CRACKERS,CA,ALT_PROD_HIERARCHY,ALT_MARKET_SEG,CRACKERS,ALT_CATEGORY,CRACKERS,ALT_SUB_CATEGORY,ALL OTHER CRACKERS
2030100104,RIGHT BITES CHEEZ-IT OTG,CA,ALT_PROD_HIERARCHY,ALT_MARKET_SEG,CRACKERS,ALT_CATEGORY,CRACKERS,ALT_SUB_CATEGORY,OTG CRACKERS
2030100105,SPECIAL K CRACKERS,CA,ALT_PROD_HIERARCHY,ALT_MARKET_SEG,CRACKERS,ALT_CATEGORY,CRACKERS,ALT_SUB_CATEGORY,SPECIAL K CRACKERS
2030100106,SPECIAL K CRACKERS OTG,CA,ALT_PROD_HIERARCHY,ALT_MARKET_SEG,CRACKERS,ALT_CATEGORY,CRACKERS,ALT_SUB_CATEGORY,OTG CRACKERS
2030100107,SUNSHINE CRACKERS OTHER,CA,ALT_PROD_HIERARCHY,ALT_MARKET_SEG,CRACKERS,ALT_CATEGORY,CRACKERS,ALT_SUB_CATEGORY,ALL OTHER CRACKERS
2030100108,KASHI CRACKERS,CA,ALT_PROD_HIERARCHY,ALT_MARKET_SEG,CRACKERS,ALT_CATEGORY,CRACKERS,ALT_SUB_CATEGORY,ALL OTHER CRACKERS
2030100109,KASHI CRACKERS OTG,CA,ALT_PROD_HIERARCHY,ALT_MARKET_SEG,CRACKERS,ALT_CATEGORY,CRACKERS,ALT_SUB_CATEGORY,OTG CRACKERS
2030100110,TOASTED,CA,ALT_PROD_HIERARCHY,ALT_MARKET_SEG,CRACKERS,ALT_CATEGORY,CRACKERS,ALT_SUB_CATEGORY,ALL OTHER CRACKERS
2030100111,TOWN HOUSE,CA,ALT_PROD_HIERARCHY,ALT_MARKET_SEG,CRACKERS,ALT_CATEGORY,CRACKERS,ALT_SUB_CATEGORY,TOWN HOUSE
2030100112,MIXED CRACKER BRANDS,CA,ALT_PROD_HIERARCHY,ALT_MARKET_SEG,CRACKERS,ALT_CATEGORY,CRACKERS,ALT_SUB_CATEGORY,ALL OTHER CRACKERS
2030100113,WHEATABLES,CA,ALT_PROD_HIERARCHY,ALT_MARKET_SEG,CRACKERS,ALT_CATEGORY,CRACKERS,ALT_SUB_CATEGORY,ALL OTHER CRACKERS
2030100114,ZESTA SALTINES,CA,ALT_PROD_HIERARCHY,ALT_MARKET_SEG,CRACKERS,ALT_CATEGORY,CRACKERS,ALT_SUB_CATEGORY,ALL OTHER CRACKERS
2030100115,OTHER CRACKERS,CA,ALT_PROD_HIERARCHY,ALT_MARKET_SEG,CRACKERS,ALT_CATEGORY,CRACKERS,ALT_SUB_CATEGORY,ALL OTHER CRACKERS
2030100189,BEANATURAL,CA,ALT_PROD_HIERARCHY,ALT_MARKET_SEG,CRACKERS,ALT_CATEGORY,CRACKERS,ALT_SUB_CATEGORY,ALL OTHER CRACKERS
2030100190,KASHI PITA CRACKERS,CA,ALT_PROD_HIERARCHY,ALT_MARKET_SEG,CRACKERS,ALT_CATEGORY,CRACKERS,ALT_SUB_CATEGORY,ALL OTHER CRACKERS
2030100209,CADDIES MIXED CRACKERS OTG,CA,ALT_PROD_HIERARCHY,ALT_MARKET_SEG,CRACKERS,ALT_CATEGORY,CRACKERS,ALT_SUB_CATEGORY,OTG CRACKERS
2030100212,AUSTIN CRACKERS,CA,ALT_PROD_HIERARCHY,ALT_MARKET_SEG,CRACKERS,ALT_CATEGORY,CRACKERS,ALT_SUB_CATEGORY,ALL OTHER CRACKERS
2030100236,BEAR NAKED CRACKERS,CA,ALT_PROD_HIERARCHY,ALT_MARKET_SEG,CRACKERS,ALT_CATEGORY,CRACKERS,ALT_SUB_CATEGORY,ALL OTHER CRACKERS
2030100238,KASHI CRISP CRACKERS,CA,ALT_PROD_HIERARCHY,ALT_MARKET_SEG,CRACKERS,ALT_CATEGORY,CRACKERS,ALT_SUB_CATEGORY,ALL OTHER CRACKERS
2030100270,CHEEZ-IT SANDWICH CRACKERS,CA,ALT_PROD_HIERARCHY,ALT_MARKET_SEG,CRACKERS,ALT_CATEGORY,CRACKERS,ALT_SUB_CATEGORY,CHEEZ-IT
2030100319,PURE CRACKERS,CA,ALT_PROD_HIERARCHY,ALT_MARKET_SEG,CRACKERS,ALT_CATEGORY,CRACKERS,ALT_SUB_CATEGORY,ALL OTHER CRACKERS
2030100323,CLUB CRACKERS OTG,CA,ALT_PROD_HIERARCHY,ALT_MARKET_SEG,SALTY SNACKS,ALT_CATEGORY,SALTY SNACKS,ALT_SUB_CATEGORY,OTHER SALTY SNACKS
2030200325,KELLOGG GRAHAM CRUMBS,CA,ALT_PROD_HIERARCHY,ALT_MARKET_SEG,CRACKERS,ALT_CATEGORY,CRACKERS,ALT_SUB_CATEGORY,CRUMBS
2030999999,CRACKERS PRODUCT RESERVE,CA,ALT_PROD_HIERARCHY,ALT_MARKET_SEG,CRACKERS,ALT_CATEGORY,CRACKERS,ALT_SUB_CATEGORY,CRACKERS PRODUCT RESERVE
2035100221,PRINGLES CRISPS,CA,ALT_PROD_HIERARCHY,ALT_MARKET_SEG,SALTY SNACKS,ALT_CATEGORY,SALTY SNACKS,ALT_SUB_CATEGORY,PRINGLES CRISPS
2035100222,PRINGLES CRISPS SNACK STACKS,CA,ALT_PROD_HIERARCHY,ALT_MARKET_SEG,SALTY SNACKS,ALT_CATEGORY,SALTY SNACKS,ALT_SUB_CATEGORY,PRINGLES SNACK STACKS
2035100277,PRINGLES WAVY,CA,ALT_PROD_HIERARCHY,ALT_MARKET_SEG,SALTY SNACKS,ALT_CATEGORY,SALTY SNACKS,ALT_SUB_CATEGORY,PRINGLES CRISPS
2035100321,PRINGLES HARVEST BLENDS,CA,ALT_PROD_HIERARCHY,ALT_MARKET_SEG,SALTY SNACKS,ALT_CATEGORY,SALTY SNACKS,ALT_SUB_CATEGORY,PRINGLES CRISPS
2035100324,PRINGLES MINGLES,CA,ALT_PROD_HIERARCHY,ALT_MARKET_SEG,SALTY SNACKS,ALT_CATEGORY,SALTY SNACKS,ALT_SUB_CATEGORY,PRINGLES MINGLES
2035150249,PRINGLES TORTILLAS,CA,ALT_PROD_HIERARCHY,ALT_MARKET_SEG,SALTY SNACKS,ALT_CATEGORY,SALTY SNACKS,ALT_SUB_CATEGORY,TORTILLA
2035150271,PRINGLES LOUD,CA,ALT_PROD_HIERARCHY,ALT_MARKET_SEG,SALTY SNACKS,ALT_CATEGORY,SALTY SNACKS,ALT_SUB_CATEGORY,PRINGLES CRISPS
2035200223,PRINGLES STIX,CA,ALT_PROD_HIERARCHY,ALT_MARKET_SEG,SALTY SNACKS,ALT_CATEGORY,SALTY SNACKS,ALT_SUB_CATEGORY,STIX
2035200224,OTHER SALTY SNACKS,CA,ALT_PROD_HIERARCHY,ALT_MARKET_SEG,SALTY SNACKS,ALT_CATEGORY,SALTY SNACKS,ALT_SUB_CATEGORY,ALL OTHER SALTY
2035200242,KASHI SALTY SNACKS CRISPS,CA,ALT_PROD_HIERARCHY,ALT_MARKET_SEG,CRACKERS,ALT_CATEGORY,SALTY SNACKS,ALT_SUB_CATEGORY,KASHI SALTY
2035200250,CHEEZ-IT SALTY SNACKS,CA,ALT_PROD_HIERARCHY,ALT_MARKET_SEG,SALTY SNACKS,ALT_CATEGORY,SALTY SNACKS,ALT_SUB_CATEGORY,OTHER SALTY SNACKS
2035200252,EAGLE SALTY SNACKS CRISPS,CA,ALT_PROD_HIERARCHY,ALT_MARKET_SEG,SALTY SNACKS,ALT_CATEGORY,SALTY SNACKS,ALT_SUB_CATEGORY,ALL OTHER SALTY
2035200317,PRINGLES PUFFS,CA,ALT_PROD_HIERARCHY,ALT_MARKET_SEG,SALTY SNACKS,ALT_CATEGORY,SALTY SNACKS,ALT_SUB_CATEGORY,PRINGLES PUFFS
2035999999,SALTY SNACKS PRODUCT RESERVE,CA,ALT_PROD_HIERARCHY,ALT_MARKET_SEG,SALTY SNACKS,ALT_CATEGORY,SALTY SNACKS,ALT_SUB_CATEGORY,SALTY SNACKS PRODUCT RESERVE
2040200268,PURE FRUIT STRIPS,CA,ALT_PROD_HIERARCHY,ALT_MARKET_SEG,CONVENIENCE,ALT_CATEGORY,FRUIT SNACKS,ALT_SUB_CATEGORY,PURE FFS
2040200269,PURE LAYERED FRUIT BARS,CA,ALT_PROD_HIERARCHY,ALT_MARKET_SEG,CONVENIENCE,ALT_CATEGORY,FRUIT SNACKS,ALT_SUB_CATEGORY,PURE FFS
2040999999,FRUIT SNACKS PRODUCT RESERVE,CA,ALT_PROD_HIERARCHY,ALT_MARKET_SEG,CONVENIENCE,ALT_CATEGORY,FRUIT SNACKS,ALT_SUB_CATEGORY,FRUIT SNACKS PRODUCT RESERVE
2050100126,ALL BRAN CEREAL BARS,CA,ALT_PROD_HIERARCHY,ALT_MARKET_SEG,CONVENIENCE,ALT_CATEGORY,BARS,ALT_SUB_CATEGORY,ALL OTHER WS
2050100127,CEREAL BREAKFAST BAR,CA,ALT_PROD_HIERARCHY,ALT_MARKET_SEG,CONVENIENCE,ALT_CATEGORY,BARS,ALT_SUB_CATEGORY,ALL OTHER WS
2050100128,CINNABON BARS,CA,ALT_PROD_HIERARCHY,ALT_MARKET_SEG,CONVENIENCE,ALT_CATEGORY,BARS,ALT_SUB_CATEGORY,ALL OTHER WS
2050100129,NUTRI-GRAIN CEREAL BARS,CA,ALT_PROD_HIERARCHY,ALT_MARKET_SEG,CONVENIENCE,ALT_CATEGORY,BARS,ALT_SUB_CATEGORY,NUTRI-GRAIN
2050100130,SPECIAL K CEREAL BARS,CA,ALT_PROD_HIERARCHY,ALT_MARKET_SEG,CONVENIENCE,ALT_CATEGORY,BARS,ALT_SUB_CATEGORY,SPECIAL K WS
2050100131,KASHI CEREAL BARS,CA,ALT_PROD_HIERARCHY,ALT_MARKET_SEG,CONVENIENCE,ALT_CATEGORY,BARS,ALT_SUB_CATEGORY,KASHI WS
2050100194,BE NATURAL BARS,CA,ALT_PROD_HIERARCHY,ALT_MARKET_SEG,CONVENIENCE,ALT_CATEGORY,BARS,ALT_SUB_CATEGORY,ALL OTHER WS
2050100204,KASHI SOFT N CHEWY BARS,CA,ALT_PROD_HIERARCHY,ALT_MARKET_SEG,CONVENIENCE,ALT_CATEGORY,BARS,ALT_SUB_CATEGORY,KASHI WS
2050100289,KASHI BITES,CA,ALT_PROD_HIERARCHY,ALT_MARKET_SEG,CONVENIENCE,ALT_CATEGORY,BARS,ALT_SUB_CATEGORY,KASHI WS
2050200132,KASHI LAYERED BARS,CA,ALT_PROD_HIERARCHY,ALT_MARKET_SEG,CONVENIENCE,ALT_CATEGORY,BARS,ALT_SUB_CATEGORY,KASHI WS
2050200133,BEAR NAKED BARS,CA,ALT_PROD_HIERARCHY,ALT_MARKET_SEG,CONVENIENCE,ALT_CATEGORY,BARS,ALT_SUB_CATEGORY,ALL OTHER WS
2050200134,FIBER PLUS BARS,CA,ALT_PROD_HIERARCHY,ALT_MARKET_SEG,CONVENIENCE,ALT_CATEGORY,BARS,ALT_SUB_CATEGORY,FIBER PLUS
2050200135,SWEET & SALTY BARS,CA,ALT_PROD_HIERARCHY,ALT_MARKET_SEG,CONVENIENCE,ALT_CATEGORY,BARS,ALT_SUB_CATEGORY,ALL OTHER WS
2050200136,KASHI CHEWY BARS,CA,ALT_PROD_HIERARCHY,ALT_MARKET_SEG,CONVENIENCE,ALT_CATEGORY,BARS,ALT_SUB_CATEGORY,KASHI WS
2050200195,KASHI CRUNCHY BARS,CA,ALT_PROD_HIERARCHY,ALT_MARKET_SEG,CONVENIENCE,ALT_CATEGORY,BARS,ALT_SUB_CATEGORY,KASHI WS
2050200196,KEEBLER GRANOLA BARS,CA,ALT_PROD_HIERARCHY,ALT_MARKET_SEG,CONVENIENCE,ALT_CATEGORY,BARS,ALT_SUB_CATEGORY,ALL OTHER WS
2050200197,KELLOGG GRANOLA MUNCH'EMS,CA,ALT_PROD_HIERARCHY,ALT_MARKET_SEG,CONVENIENCE,ALT_CATEGORY,BARS,ALT_SUB_CATEGORY,ALL OTHER WS
2050200207,KASHI MIXED BRANDS,CA,ALT_PROD_HIERARCHY,ALT_MARKET_SEG,CONVENIENCE,ALT_CATEGORY,BARS,ALT_SUB_CATEGORY,KASHI WS
2050200210,SPECIAL K GRANOLA BARS,CA,ALT_PROD_HIERARCHY,ALT_MARKET_SEG,CONVENIENCE,ALT_CATEGORY,BARS,ALT_SUB_CATEGORY,SPECIAL K WS
2050200227,GIRL SCOUT GRANOLA BAR,CA,ALT_PROD_HIERARCHY,ALT_MARKET_SEG,CONVENIENCE,ALT_CATEGORY,BARS,ALT_SUB_CATEGORY,ALL OTHER WS
2050200232,NUTRI-GRAIN GRANOLA BARS,CA,ALT_PROD_HIERARCHY,ALT_MARKET_SEG,CONVENIENCE,ALT_CATEGORY,BARS,ALT_SUB_CATEGORY,NUTRI-GRAIN
2050200258,KASHI ORGANIC CHEWY BARS,CA,ALT_PROD_HIERARCHY,ALT_MARKET_SEG,CONVENIENCE,ALT_CATEGORY,BARS,ALT_SUB_CATEGORY,KASHI WS
2050300137,RKT SQUARES,CA,ALT_PROD_HIERARCHY,ALT_MARKET_SEG,CONVENIENCE,ALT_CATEGORY,BARS,ALT_SUB_CATEGORY,RK TREATS
2050300138,RKT CRUNCH MIX,CA,ALT_PROD_HIERARCHY,ALT_MARKET_SEG,CONVENIENCE,ALT_CATEGORY,BARS,ALT_SUB_CATEGORY,RK TREATS
2050300216,KASHI SOFT BAKED SQUARES,CA,ALT_PROD_HIERARCHY,ALT_MARKET_SEG,CONVENIENCE,ALT_CATEGORY,BARS,ALT_SUB_CATEGORY,KASHI WS
2050300254,KRAVE TREAT BARS,CA,ALT_PROD_HIERARCHY,ALT_MARKET_SEG,CONVENIENCE,ALT_CATEGORY,BARS,ALT_SUB_CATEGORY,ALL OTHER WS
2050300263,PURE ANCIENT GRAINS BAR,CA,ALT_PROD_HIERARCHY,ALT_MARKET_SEG,CONVENIENCE,ALT_CATEGORY,BARS,ALT_SUB_CATEGORY,ALL OTHER WS
2050300264,PURE 100 CAL BAR,CA,ALT_PROD_HIERARCHY,ALT_MARKET_SEG,CONVENIENCE,ALT_CATEGORY,BARS,ALT_SUB_CATEGORY,ALL OTHER WS
2050300283,RKT POPPERS,CA,ALT_PROD_HIERARCHY,ALT_MARKET_SEG,CONVENIENCE,ALT_CATEGORY,BARS,ALT_SUB_CATEGORY,RK TREATS
2050400139,ALL BRAN FIBER BARS,CA,ALT_PROD_HIERARCHY,ALT_MARKET_SEG,CONVENIENCE,ALT_CATEGORY,BARS,ALT_SUB_CATEGORY,HEALTH & WELLNESS BARS
2050400140,SPECIAL K PROTEIN BARS,CA,ALT_PROD_HIERARCHY,ALT_MARKET_SEG,CONVENIENCE,ALT_CATEGORY,BARS,ALT_SUB_CATEGORY,HEALTH & WELLNESS BARS
2050400141,LIVE BRIGHT,CA,ALT_PROD_HIERARCHY,ALT_MARKET_SEG,CONVENIENCE,ALT_CATEGORY,BARS,ALT_SUB_CATEGORY,HEALTH & WELLNESS BARS
2050400142,KASHI GOLEAN BARS,CA,ALT_PROD_HIERARCHY,ALT_MARKET_SEG,CONVENIENCE,ALT_CATEGORY,BARS,ALT_SUB_CATEGORY,HEALTH & WELLNESS BARS
2050400208,SPK MIXED H & W BRANDS,CA,ALT_PROD_HIERARCHY,ALT_MARKET_SEG,CONVENIENCE,ALT_CATEGORY,BARS,ALT_SUB_CATEGORY,HEALTH & WELLNESS BARS
2050400233,SPECIAL K NOURISH BARS,CA,ALT_PROD_HIERARCHY,ALT_MARKET_SEG,CONVENIENCE,ALT_CATEGORY,BARS,ALT_SUB_CATEGORY,HEALTH & WELLNESS BARS
