CLASS_TYPE,CHAR_NAME,CHAR_VALUE,ABBREVIATION,COUNTRY,INACTIVE
"FINISHED_GOODS    ",FOOD_FORM,BARS,BARS,CA,
FINISHED_GOODS,FOOD_FORM,BITES,BITES,CA,
"FINISHED_GOODS    ",FOOD_FORM,CHEWY BARS,CHWY BARS,CA,
"FINISHED_GOODS    ",FOOD_FORM,CRACKER CHIPS,CRCKR CHIPS,CA,
"FINISHED_GOODS    ",FOOD_FORM,CRACKERS,CRCKR,CA,
"FINISHED_GOODS    ",FOOD_FORM,CRISPS,CRISPS,CA,
FINISHED_GOODS,FOOD_FORM,CRUNCHY GRANOLA SNACKS,CRCHY GRNLA SNKS,CA,
FINISHED_GOODS,FOOD_FORM,FRUIT BITES,FRT BTS,CA,
"FINISHED_GOODS    ",FOOD_FORM,GRANOLA,GRNLA,CA,
"FINISHED_GOODS    ",FOOD_FORM,MEAL REPLACEMENT,MEAL RPL,CA,
FINISHED_GOODS,FOOD_FORM,NUT BUTTER,NUT BTR,CA,
"FINISHED_GOODS    ",FOOD_FORM,NUTRITIONAL SUPPLEMENT,NTRT SUP,CA,
"FINISHED_GOODS    ",FOOD_FORM,PANCAKES,PANC,CA,
"FINISHED_GOODS    ",FOOD_FORM,PASTRIES,PSTRS,CA,
"FINISHED_GOODS    ",FOOD_FORM,POPCORN CHIPS,PCRN CHIPS,CA,
"FINISHED_GOODS    ",FOOD_FORM,POTATO CHIPS,PTO CHIPS,CA,
"FINISHED_GOODS    ",FOOD_FORM,PROTEIN BITES,PRTN BITES,CA,
"FINISHED_GOODS    ",FOOD_FORM,TORTILLA CHIPS,TRT CHIPS,CA,
"FINISHED_GOODS    ",FOOD_FORM,VEGGIE BITES,VEG BITES,CA,
"FINISHED_GOODS    ",FOOD_FORM,VEGGIE BURGERS,VEG BRGR,CA,
"FINISHED_GOODS    ",FOOD_FORM,VEGGIE CRUMBLES,VEG CRMBL,CA,
"FINISHED_GOODS    ",FOOD_FORM,WAFFLES,WFL,CA,
"FINISHED_GOODS    ",FOOD_FORM,BARK,BARK,US,
"FINISHED_GOODS    ",FOOD_FORM,BARS,BARS,US,
"FINISHED_GOODS    ",FOOD_FORM,BISCUITS,BSCT,US,
"FINISHED_GOODS    ",FOOD_FORM,BITES,BITES,US,
FINISHED_GOODS,FOOD_FORM,BOTTLE,BTL,US,
FINISHED_GOODS,FOOD_FORM,BUTTER,BTR,US,
"FINISHED_GOODS    ",FOOD_FORM,CAN,CAN,US,
"FINISHED_GOODS    ",FOOD_FORM,CLUSTERS,CLSTRS,US,
"FINISHED_GOODS    ",FOOD_FORM,CRACKER CHIPS,CRCKR CHIPS,US,
"FINISHED_GOODS    ",FOOD_FORM,CRACKER POPCORN CHIPS,CRCKR PC CHIPS,US,
"FINISHED_GOODS    ",FOOD_FORM,CRACKERS,CRCKR,US,
"FINISHED_GOODS    ",FOOD_FORM,CRISPS,CRISPS,US,
"FINISHED_GOODS    ",FOOD_FORM,CRISPS OTG,CRISPS OTG,US,
"FINISHED_GOODS    ",FOOD_FORM,CRUMBS,CRMBS,US,
FINISHED_GOODS,FOOD_FORM,CRUNCHY POPPERS,CRNCHY PPRS,US,
"FINISHED_GOODS    ",FOOD_FORM,CRUSHED,CRSHD,US,
"FINISHED_GOODS    ",FOOD_FORM,DIP,DIP,US,
FINISHED_GOODS,FOOD_FORM,DIPPING SPOONS,DPNG SPNS,US,
FINISHED_GOODS,FOOD_FORM,DIPPING THINS,DPNG THNS,US,
"FINISHED_GOODS    ",FOOD_FORM,DONUTS,DNTS,US,
"FINISHED_GOODS    ",FOOD_FORM,FILET,FLT,US,
"FINISHED_GOODS    ",FOOD_FORM,FLATBREAD CRISPS,FLTBRD CRSPS,US,
"FINISHED_GOODS    ",FOOD_FORM,FROZEN,FRZ,US,
"FINISHED_GOODS    ",FOOD_FORM,FRUIT,FRT,US,
FINISHED_GOODS,FOOD_FORM,FRUIT BARS,FRUIT BARS,US,
"FINISHED_GOODS    ",FOOD_FORM,GRANOLA,GRNLA,US,
"FINISHED_GOODS    ",FOOD_FORM,GROUND,GRND,US,
"FINISHED_GOODS    ",FOOD_FORM,HANDHELD,HNDHLD,US,
"FINISHED_GOODS    ",FOOD_FORM,ICE CREAM TOPPINGS,ICE CRM TOP,US,
"FINISHED_GOODS    ",FOOD_FORM,JERKY,JRKY,US,
"FINISHED_GOODS    ",FOOD_FORM,LAYERED BAR,LYRD BAR,US,
"FINISHED_GOODS    ",FOOD_FORM,MILK & CEREAL BAR,MLK&CRL BAR,US,
"FINISHED_GOODS    ",FOOD_FORM,MINI CRISPS,MINI CRSP,US,
FINISHED_GOODS,FOOD_FORM,MINI FRENCH TOAST,MNI FR TST,US,
"FINISHED_GOODS    ",FOOD_FORM,MINI LOAVES,MINI LVES,US,
"FINISHED_GOODS    ",FOOD_FORM,MIX,MX,US,
"FINISHED_GOODS    ",FOOD_FORM,MIXED FOODS,MXD FDS,US,
"FINISHED_GOODS    ",FOOD_FORM,MUFFIN TOPS,MFN TPS,US,
"FINISHED_GOODS    ",FOOD_FORM,NOURISH BAR,NRSH BAR,US,
FINISHED_GOODS,FOOD_FORM,NUT BUTTER,NUT BTR,US,
"FINISHED_GOODS    ",FOOD_FORM,NUTRITION BAR,NUTRITION BAR,US,
"FINISHED_GOODS    ",FOOD_FORM,OATMEAL,OATML,US,
"FINISHED_GOODS    ",FOOD_FORM,PASTRY CRISPS,PSTRY CRSPS,US,
"FINISHED_GOODS    ",FOOD_FORM,PIE CRUST,P CRST,US,
"FINISHED_GOODS    ",FOOD_FORM,PITA CRACKER,PITA CRCKR,US,
FINISHED_GOODS,FOOD_FORM,POPCORN,PCRN,US,
FINISHED_GOODS,FOOD_FORM,"POPPERS ",PPRS,US,
"FINISHED_GOODS    ",FOOD_FORM,POWDER,PWDR,US,
FINISHED_GOODS,FOOD_FORM,POWERFULS,PWRFLS,US,
"FINISHED_GOODS    ",FOOD_FORM,PRETZEL,PRTZL,US,
"FINISHED_GOODS    ",FOOD_FORM,PROTEIN MEAL BAR,PRTN MEAL BAR,US,
"FINISHED_GOODS    ",FOOD_FORM,PROTEIN SNACK BAR,PRTN SNK BAR,US,
FINISHED_GOODS,FOOD_FORM,PUFFED SNACKS,PFD SNKS,US,
"FINISHED_GOODS    ",FOOD_FORM,REFRIDGERATED,RFDGRTD,US,
"FINISHED_GOODS    ",FOOD_FORM,SHEET,SHEET,US,
"FINISHED_GOODS    ",FOOD_FORM,SOFT BAKED SQUARES,SFT BKD SQ,US,
"FINISHED_GOODS    ",FOOD_FORM,STIX,STX,US,
"FINISHED_GOODS    ",FOOD_FORM,SYRUP,SYRUP,US,
"FINISHED_GOODS    ",FOOD_FORM,TRAIL MIX,TRL MX,US,
"FINISHED_GOODS    ",FOOD_FORM,TST MUFFINS,TST MUFFINS,US,
"FINISHED_GOODS    ",FOOD_FORM,TSTR PASTRIES,TSTP,US,
"FINISHED_GOODS    ",FOOD_FORM,WAFER,WFR,US,
"FINISHED_GOODS    ",FOOD_FORM,WAFFLES,WFL,US,
"FINISHED_GOODS    ",FOOD_FORM,ZINGZ,ZNGZ,US,
